Country Name,ISO3,CC.EST,GE.EST,RL.EST
United States,USA,1.046862006,1.336411476,1.416656494
Uruguay,URY,1.61529088,0.839954197,0.732000947
Uzbekistan,UZB,-0.808077157,-0.196801484,-0.886045158
Vanuatu,VUT,-0.017598171,-0.558449566,0.458427578
"Venezuela, RB",VEN,-1.60577929,-1.85184741,-2.295974493
Vietnam,VNM,-0.285784245,0.277978897,-0.146356195
Virgin Islands (U.S.),VIR,0.036268443,0.697109878,0.950291753
West Bank and Gaza,PSE,-0.738599837,-0.766787648,-0.496767908
"Yemen, Rep.",YEM,-1.651690602,-2.304463625,-1.798878312
Zambia,ZMB,-0.753424048,-0.81693244,-0.593126953
Zimbabwe,ZWE,-1.257896781,-1.242930412,-1.260688782
